,"Fertility Rate"
"1950",3.04
"1951",3.09
"1952",3.14
"1953",3.18
"1954",3.23
"1955",3.27
"1956",3.32
"1957",3.36
"1958",3.41
"1959",3.38
"1960",3.45
"1961",3.54
"1962",3.44
"1963",3.33
"1964",3.15
"1965",2.98
"1966",2.88
"1967",2.85
"1968",2.89
"1969",2.89
"1970",2.86
"1971",2.96
"1972",2.74
"1973",2.49
"1974",2.4
"1975",2.15
"1976",2.06
"1977",2.01
"1978",1.95
"1979",1.91
"1980",1.89
"1981",1.94
"1982",1.93
"1983",1.92
"1984",1.84
"1985",1.92
"1986",1.87
"1987",1.85
"1988",1.83
"1989",1.84
"1990",1.9
"1991",1.85
"1992",1.89
"1993",1.86
"1994",1.84
"1995",1.82
"1996",1.8
"1997",1.78
"1998",1.76
"1999",1.76
"2000",1.76
"2001",1.74
"2002",1.76
"2003",1.75
"2004",1.77
"2005",1.81
"2006",1.91
"2007",1.96
"2008",1.98
"2009",1.97
"2010",1.93
"2011",1.93
"2012",1.92
"2013",1.86
"2014",1.83
"2015",1.81
"2016",1.75
"2017",1.74
"2018",1.74
"2019",1.66
"2020",1.58
"2021",1.7
"2022",1.63
"2023",1.5
"2024",1.78
"2025",1.77
